dish_id,total_calories,total_mass,total_fat,total_carb,total_protein,ingredient_names,image_path
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397,"soy sauce, garlic, white rice, parsley, onions, brown rice, vinegar, apple, mixed greens, sugar, salt, lemon juice, olive oil, pork, bok choy, pepper, millet",../imagery/realsense_overhead/dish_1561662216\rgb.png
dish_1562688426,137.569992,88.0,8.256,5.19,10.297,"roasted potatoes, chicken apple sausage",../imagery/realsense_overhead/dish_1562688426\rgb.png
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,"pepper, white rice, mixed greens, garlic, soy sauce, millet, lemon juice, bok choy, olive oil, onions, vinegar, green beans, pork, apple, sugar, salt, parsley",../imagery/realsense_overhead/dish_1561662054\rgb.png
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387,"jalapenos, lemon juice, pork, wheat berry, cabbage, pepper, salt, carrot, garlic, caesar salad, olive oil, parsley, mayonnaise",../imagery/realsense_overhead/dish_1562008979\rgb.png
dish_1560455030,20.59,103.0,0.148,4.625,0.956,"cherry tomatoes, cucumbers, baby carrots",../imagery/realsense_overhead/dish_1560455030\rgb.png
dish_1558372433,74.360001,143.0,0.286,0.429,20.02,deprecated,../imagery/realsense_overhead/dish_1558372433\rgb.png
dish_1563379132,232.050003,119.0,14.28,14.28,10.591001,chilaquiles,../imagery/realsense_overhead/dish_1563379132\rgb.png
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,"tomatoes, cilantro, olive oil, mustard greens, lemon juice, onions, cucumbers, salt, arugula, jalapenos, asparagus, lime, mangos, cherry tomatoes",../imagery/realsense_overhead/dish_1565640549\rgb.png
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,"scrambled eggs, yam, grapes, egg whites, olive oil, sweet potato",../imagery/realsense_overhead/dish_1563207364\rgb.png
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,"salt, eggplant, roasted potatoes, cauliflower, olive oil",../imagery/realsense_overhead/dish_1561575474\rgb.png
dish_1550795690,68.119995,131.0,0.262,18.34,0.393,apple,../imagery/realsense_overhead/dish_1550795690\rgb.png
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871,"garlic, squash, cherry tomatoes, chicken breast, spinach (raw), parmesan cheese, wheat berry, olive oil, thyme, honeydew melons, salt, broccoli",../imagery/realsense_overhead/dish_1563216717\rgb.png
dish_1565972591,195.199997,122.0,12.2,3.66,17.08,chicken apple sausage,../imagery/realsense_overhead/dish_1565972591\rgb.png
dish_1568649312,44.459999,78.0,0.234,10.92,0.546,berries,../imagery/realsense_overhead/dish_1568649312\rgb.png
dish_1550876012,253.520004,207.0,4.455999,12.46,38.608002,"chicken, cantaloupe, potatoes",../imagery/realsense_overhead/dish_1550876012\rgb.png
dish_1551565034,7.79,19.0,0.038,1.9,0.171,carrot,../imagery/realsense_overhead/dish_1551565034\rgb.png
dish_1550860747,39.5,79.0,0.079,10.27,0.395,pineapple,../imagery/realsense_overhead/dish_1550860747\rgb.png
dish_1566245398,506.355377,230.0,31.183908,4.258222,49.023197,"olive oil, lime, salt, garlic, cauliflower, steak, roast chicken, wheat berry",../imagery/realsense_overhead/dish_1566245398\rgb.png
dish_1563381680,32.459999,6.0,2.52,0.084,2.22,bacon,../imagery/realsense_overhead/dish_1563381680\rgb.png
dish_1562183096,41.18898,95.0,2.571043,3.28026,2.80497,"pepper, chard, blueberries, mushroom, vinegar, arugula, mustard, olive oil, walnuts, salt",../imagery/realsense_overhead/dish_1562183096\rgb.png
dish_1563476551,1116.391113,750.0,51.413692,74.705963,85.498482,"shallots, salmon, mushroom, ginger, squash, brownies, lemon juice, sour cream, lime, garlic, cheese pizza, wine, cream, brown rice, jalapenos, spinach (raw), beef, pasta, thyme, olive oil, broccoli, onions, zucchini, salt, cilantro, chili",../imagery/realsense_overhead/dish_1563476551\rgb.png
dish_1559844951,274.335999,122.0,17.906,22.792,9.784,"almonds, potatoes",../imagery/realsense_overhead/dish_1559844951\rgb.png
dish_1550778583,67.759995,88.0,0.088,14.96,1.76,potatoes,../imagery/realsense_overhead/dish_1550778583\rgb.png
dish_1562963704,663.755798,479.0,28.423254,66.054832,35.921761,"radishes, bok choy, vinegar, salt, roasted potatoes, mixed greens, soy sauce, caesar salad, garlic, sugar, pepper, white rice, pork, rice noodles, cabbage, pizza, olive oil, carrot, green onions",../imagery/realsense_overhead/dish_1562963704\rgb.png
dish_1566417398,56.892494,46.0,5.357862,2.088042,0.792647,"mustard, vinegar, mixed greens, celery root, olive oil, salt, cherry tomatoes",../imagery/realsense_overhead/dish_1566417398\rgb.png
dish_1561739238,274.190002,257.0,9.785,37.556999,9.465,"egg whites, hash browns, berries, sweet potato",../imagery/realsense_overhead/dish_1561739238\rgb.png
dish_1562611680,326.888977,256.0,19.411798,24.775015,16.028036,"cilantro, garlic, olive oil, pepperoni pizza, lemon juice, onions, vinegar, blueberries, salt, caesar salad, steak, kale, jalapenos, spinach (raw), mustard, white rice, radishes, pineapple",../imagery/realsense_overhead/dish_1562611680\rgb.png
dish_1568144828,76.748177,152.0,4.168533,10.369692,1.329856,"salt, pepper, carrot, olive oil, olives, cherry tomatoes",../imagery/realsense_overhead/dish_1568144828\rgb.png
dish_1550708440,37.5,75.0,0.075,9.75,0.375,pineapple,../imagery/realsense_overhead/dish_1550708440\rgb.png
dish_1551307090,171.550003,52.0,11.686,11.48,6.152,"potato chips, bacon, mushroom",../imagery/realsense_overhead/dish_1551307090\rgb.png
dish_1564432238,455.387939,315.0,23.15468,34.854778,28.074873,"cherry tomatoes, cauliflower, lime, mayonnaise, jalapenos, pepperoni pizza, parsley, vinegar, lemon juice, cabbage, mixed greens, lettuce, salt, pepper, pineapple, pork, wheat berry, onions, cucumbers, olive oil, garlic, carrot",../imagery/realsense_overhead/dish_1564432238\rgb.png
dish_1563468327,351.886047,483.0,9.768622,57.495316,12.099887,"yam, sweet potato, cottage cheese, pineapple, watermelon, olive oil, berries",../imagery/realsense_overhead/dish_1563468327\rgb.png
dish_1562862493,198.320007,134.0,14.74,2.144,13.400001,scrambled eggs,../imagery/realsense_overhead/dish_1562862493\rgb.png
dish_1558549008,20.700001,115.0,0.23,4.485,1.035,cherry tomatoes,../imagery/realsense_overhead/dish_1558549008\rgb.png
dish_1560453174,329.716248,256.0,18.145134,10.521854,32.1376,"basil, rosemary, carrot, olive oil, almonds, lemon juice, parsley, green beans, blueberries, chicken, pepper, salt, garlic, vinegar, zucchini, mustard, spinach (raw), thyme, wheat berry, squash",../imagery/realsense_overhead/dish_1560453174\rgb.png
dish_1551226363,17.15,49.0,0.196,3.43,1.176,broccoli,../imagery/realsense_overhead/dish_1551226363\rgb.png
dish_1562691032,419.681702,415.0,22.039829,39.058826,17.94734,"berries, olive oil, pineapple, scrambled eggs, roasted potatoes, broccoli",../imagery/realsense_overhead/dish_1562691032\rgb.png
dish_1551374440,48.059998,54.0,0.162,12.42,0.594,banana,../imagery/realsense_overhead/dish_1551374440\rgb.png
dish_1563824250,17.200001,43.0,0.043,3.87,0.473,onions,../imagery/realsense_overhead/dish_1563824250\rgb.png
dish_1560543755,257.924927,264.0,8.887804,27.355255,17.404505,"green onions, chicken, cauliflower, green beans, spinach (raw), ginger, olive oil, roasted potatoes, mixed greens, carrot, broccoli, salt, white rice, vinegar, rice noodles, cabbage, radishes, soy sauce, garlic",../imagery/realsense_overhead/dish_1560543755\rgb.png
dish_1558549773,2.3,10.0,0.04,0.36,0.29,spinach (raw),../imagery/realsense_overhead/dish_1558549773\rgb.png
dish_1563822597,59.400002,176.0,2.170667,7.626667,4.106667,"broccoli, caesar salad, squash, zucchini",../imagery/realsense_overhead/dish_1563822597\rgb.png
dish_1551492561,357.932007,159.0,28.653,7.446,18.050001,"olives, mushroom, sausage",../imagery/realsense_overhead/dish_1551492561\rgb.png
dish_1566920365,490.421692,871.0,5.324439,41.393566,60.675976,"salsa, sweet potato, olive oil, egg whites",../imagery/realsense_overhead/dish_1566920365\rgb.png
dish_1563984242,402.117035,753.0,3.30239,36.819611,49.407761,"sweet potato, egg whites, pineapple, olive oil, cantaloupe",../imagery/realsense_overhead/dish_1563984242\rgb.png
dish_1551237016,92.5,37.0,5.55,0.0,9.62,beef,../imagery/realsense_overhead/dish_1551237016\rgb.png
dish_1551489812,74.75,65.0,6.955,4.095,0.52,olives,../imagery/realsense_overhead/dish_1551489812\rgb.png
dish_1558459276,102.699997,79.0,0.237,22.120001,2.133,white rice,../imagery/realsense_overhead/dish_1558459276\rgb.png
dish_1560974707,55.025124,60.0,2.003546,7.088692,2.992605,"onions, spinach (raw), cherry tomatoes, tortilla chips, corn, cheese, salt, chili, tomatoes, garlic, lime, sour cream, black beans",../imagery/realsense_overhead/dish_1560974707\rgb.png
dish_1564686855,1030.160645,435.0,52.116467,85.930336,56.845505,"cucumbers, onions, brownies, chicken breast, cherry tomatoes, olives, salt, lettuce, cheese pizza, mixed greens, lime, pepper, olive oil, vinegar",../imagery/realsense_overhead/dish_1564686855\rgb.png
dish_1565119669,55.965,229.0,1.0305,10.842,3.2725,"kale, zucchini, chard, chayote squash",../imagery/realsense_overhead/dish_1565119669\rgb.png
dish_1566417516,385.402527,425.0,36.516472,23.505039,33.699574,"wheat berry, eggplant, cherry tomatoes, mixed greens, celery root, salt, mustard, garlic, olive oil, vinegar, chard, fish, chive, shallots, roasted potatoes, parsley, lemon juice",../imagery/realsense_overhead/dish_1566417516\rgb.png
dish_1558724031,358.710999,303.0,25.801001,25.789999,14.067,"cherry tomatoes, cantaloupe, almonds, cauliflower",../imagery/realsense_overhead/dish_1558724031\rgb.png
dish_1551494178,369.660004,230.0,14.521,36.071999,26.472002,"tortilla, chicken, olives",../imagery/realsense_overhead/dish_1551494178\rgb.png
dish_1551233434,27.23,104.0,0.292,5.182,2.334,"mushroom, cucumbers, broccoli",../imagery/realsense_overhead/dish_1551233434\rgb.png
dish_1551390304,39.650002,65.0,0.325,9.75,0.715,kiwi,../imagery/realsense_overhead/dish_1551390304\rgb.png
dish_1558637393,739.968018,128.0,63.360001,29.056,28.672001,almonds,../imagery/realsense_overhead/dish_1558637393\rgb.png
dish_1563393217,49.230003,228.0,0.467667,9.802668,2.865667,"zucchini, broccoli, squash, onions, cucumbers",../imagery/realsense_overhead/dish_1563393217\rgb.png
dish_1562789268,569.511536,350.0,22.733551,64.756828,32.585655,"pork, corn on the cob, brown rice, lemon juice, parsley, basil, shallots, cherry tomatoes, cheese pizza, pepper, salt, vinegar, olive oil, onions, garlic, broccoli",../imagery/realsense_overhead/dish_1562789268\rgb.png
dish_1563998323,634.505066,574.0,32.486301,35.302532,52.964516,"roasted potatoes, shallots, olive oil, tatsoi, butter, jalapenos, wheat berry, mushroom, steak, oregano, chicken, pepper, salt, garlic, white wine, cilantro, vinegar, thyme, lemon juice, rosemary, arugula, basil, brown rice, cream, parsley, cauliflower",../imagery/realsense_overhead/dish_1563998323\rgb.png
dish_1568144803,66.128174,93.0,4.050533,8.068691,0.798856,"salt, pepper, carrot, olive oil, olives",../imagery/realsense_overhead/dish_1568144803\rgb.png
dish_1551487158,94.299995,82.0,8.774,5.166,0.656,olives,../imagery/realsense_overhead/dish_1551487158\rgb.png
dish_1559700851,61.089886,54.0,5.827236,1.897059,1.151647,"spinach (raw), vinegar, tomatoes, salt, mustard, garlic, olive oil, mustard greens, cucumbers",../imagery/realsense_overhead/dish_1559700851\rgb.png
dish_1561997365,98.951996,168.0,0.672,6.048,16.800001,yogurt,../imagery/realsense_overhead/dish_1561997365\rgb.png
dish_1551395233,139.410004,113.0,2.094,5.964,24.362,"chicken, corn, shrimp",../imagery/realsense_overhead/dish_1551395233\rgb.png
dish_1561492204,488.636322,334.0,15.686282,49.120712,37.193401,"olive oil, blueberries, onions, tomatoes, salt, fried rice, chicken, pepper, mustard, garlic, bell peppers, millet, jalapenos, spinach (raw), vinegar, radishes",../imagery/realsense_overhead/dish_1561492204\rgb.png
dish_1567613057,406.68631,749.0,4.968488,45.862511,40.6982,"olive oil, egg whites, watermelon, sweet potato, salsa",../imagery/realsense_overhead/dish_1567613057\rgb.png
dish_1563996485,178.039185,201.0,11.607642,16.567097,4.172902,"salt, pepper, blueberries, chard, arugula, vinegar, mustard, olive oil, walnuts, roasted potatoes, cauliflower",../imagery/realsense_overhead/dish_1563996485\rgb.png
dish_1550775393,402.750031,166.0,30.093002,28.189999,12.973,"broccoli, nuts, banana",../imagery/realsense_overhead/dish_1550775393\rgb.png
dish_1564761488,327.986023,336.0,8.358,40.558998,21.735001,"turkey bacon, egg whites, fried rice, honeydew melons",../imagery/realsense_overhead/dish_1564761488\rgb.png
dish_1551376970,125.389999,184.0,1.204,29.699999,2.723,"kiwi, corn, berries",../imagery/realsense_overhead/dish_1551376970\rgb.png
dish_1559239151,9.2,40.0,0.16,1.44,1.16,spinach (raw),../imagery/realsense_overhead/dish_1559239151\rgb.png
dish_1559678330,169.694122,150.0,16.186766,5.269608,3.199019,"olive oil, spinach (raw), vinegar, tomatoes, garlic, cucumbers, salt, mustard, mustard greens",../imagery/realsense_overhead/dish_1559678330\rgb.png
dish_1563998210,148.089218,91.0,4.958992,2.163187,22.614895,"garlic, olive oil, thyme, lemon juice, butter, cream, oregano, chicken, pepper, white wine, shallots, arugula, rosemary, mushroom, basil, wheat berry, salt",../imagery/realsense_overhead/dish_1563998210\rgb.png
dish_1565033110,47.599998,147.0,0.588,9.355,3.418,"broccoli, mixed greens",../imagery/realsense_overhead/dish_1565033110\rgb.png
dish_1564428444,157.001038,277.0,10.32739,14.948835,4.712034,"olive oil, onions, salt, garlic, pears, mixed greens, mustard, cherry tomatoes, cauliflower, vinegar",../imagery/realsense_overhead/dish_1564428444\rgb.png
dish_1558459115,271.540009,298.0,10.487999,43.459003,6.616,"almonds, apple, white rice, cherry tomatoes, grapes",../imagery/realsense_overhead/dish_1558459115\rgb.png
dish_1564082178,549.203613,348.0,15.769115,9.967051,86.590042,"chard, rosemary, garlic, salt, chicken, lemon juice, chive, carrot, olive oil, parsley, basil, brown rice",../imagery/realsense_overhead/dish_1564082178\rgb.png
dish_1550707756,87.5,35.0,5.25,0.0,9.099999,beef,../imagery/realsense_overhead/dish_1550707756\rgb.png
dish_1558723777,74.360001,143.0,0.286,20.02,0.429,apple,../imagery/realsense_overhead/dish_1558723777\rgb.png
dish_1558721757,768.873047,133.0,65.834999,30.191,29.792002,almonds,../imagery/realsense_overhead/dish_1558721757\rgb.png
dish_1551227216,5.28,24.0,0.072,0.792,0.744,mushroom,../imagery/realsense_overhead/dish_1551227216\rgb.png
dish_1564777960,331.007507,147.0,16.715342,16.270294,26.4312,"spinach (cooked), cheese pizza, shallots, onions, salt, olive oil, vinegar, bok choy, beef, millet",../imagery/realsense_overhead/dish_1564777960\rgb.png
dish_1551492702,28.5,114.0,0.342,5.7,2.052,cauliflower,../imagery/realsense_overhead/dish_1551492702\rgb.png
dish_1563378110,348.823059,405.0,11.770057,31.482302,26.479719,"cantaloupe, sweet potato, olive oil, pineapple, egg whites, sausage, yam",../imagery/realsense_overhead/dish_1563378110\rgb.png
dish_1558376306,372.167999,108.0,29.484001,4.536,20.844,sausage,../imagery/realsense_overhead/dish_1558376306\rgb.png
dish_1558114086,74.360001,143.0,0.286,0.429,20.02,deprecated,../imagery/realsense_overhead/dish_1558114086\rgb.png
dish_1550771267,20.299999,58.0,0.232,4.06,1.392,broccoli,../imagery/realsense_overhead/dish_1550771267\rgb.png
dish_1551390215,15.05,43.0,0.172,3.01,1.032,broccoli,../imagery/realsense_overhead/dish_1551390215\rgb.png
dish_1558720236,887.823059,407.0,66.440002,60.460999,31.913002,"apple, carrot, cauliflower, almonds",../imagery/realsense_overhead/dish_1558720236\rgb.png
dish_1563468269,129.01001,302.0,0.56,32.762001,1.768,"berries, watermelon, pineapple",../imagery/realsense_overhead/dish_1563468269\rgb.png
dish_1558380557,699.320068,212.0,54.440002,24.960001,32.732002,"grapes, almonds, sausage",../imagery/realsense_overhead/dish_1558380557\rgb.png
dish_1562873028,280.3414,320.0,16.123878,34.232201,20.963665,"jicama, parsley, nopales, olive oil, cherry tomatoes, chive, fish, pepper, salt, corn, arugula, sour cream, green beans, celery, carrot, couscous, garlic, lime",../imagery/realsense_overhead/dish_1562873028\rgb.png
dish_1551565884,25.08,44.0,0.132,6.16,0.308,berries,../imagery/realsense_overhead/dish_1551565884\rgb.png
dish_1558637769,80.079994,154.0,0.308,21.559999,0.462,apple,../imagery/realsense_overhead/dish_1558637769\rgb.png
dish_1564415022,69.159996,133.0,0.266,0.931,13.3,egg whites,../imagery/realsense_overhead/dish_1564415022\rgb.png
dish_1558724959,581.441956,426.0,36.466,57.004002,21.298,"brussels sprouts, carrot, almonds, apple",../imagery/realsense_overhead/dish_1558724959\rgb.png
dish_1551391034,48.959999,72.0,1.008,8.639999,1.728,oatmeal,../imagery/realsense_overhead/dish_1551391034\rgb.png
